Category,Name,Description,Old Name,Old Description
,Abomasite,These glasses contain an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.,abomasite,Held: Allows Abomasnow to Mega Evolve into Mega Abomasnow.
,Kangaskhanite,This anchor contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.,kangaskhanite,Held: Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.
,Gyaradosite,This stickpin contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.,gyaradosite,Held: Allows Gyarados to Mega Evolve into Mega Gyarados.
,Absolite,This tiara contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.,absolite,Held: Allows Absol to Mega Evolve into Mega Absol.
,Charizardite Y,This anklet contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.,charizardite-y,Held: Allows Charizard to Mega Evolve into Mega Charizard Y.
,Alakazite,"One of a variety of mysterious Mega Stones. Have Swampert hold it, and this stone will enable it to Mega Evolve during battle.",alakazite,Held: Allows Alakazam to Mega Evolve into Mega Alakazam.
,Heracronite,"One of a variety of mysterious Mega Stones. Have Sceptile hold it, and this stone will enable it to Mega Evolve during battle.",heracronite,Held: Allows Heracross to Mega Evolve into Mega Heracross.
,Mawilite,"One of a variety of mysterious Mega Stones. Have Sableye hold it, and this stone will enable it to Mega Evolve during battle.",mawilite,Held: Allows Mawile to Mega Evolve into Mega Mawile.
,Manectite,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle.",manectite,Held: Allows Manectric to Mega Evolve into Mega Manectric.
,Garchompite,"One of a variety of mysterious Mega Stones. Have Gallade hold it, and this stone will enable it to Mega Evolve during battle.",garchompite,Held: Allows Garchomp to Mega Evolve into Mega Garchomp.
,Roseli Berry,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle.",roseli-berry,Held: Consumed when struck by a super-effective Fairy-type attack to halve the damage.
,Kee Berry,"One of a variety of mysterious Mega Stones. Have Metagross hold it, and this stone will enable it to Mega Evolve during battle.",kee-berry,"Held: When the holder is hit by a physical move, increases its Defense by one stage."
,Maranga Berry,"One of a variety of mysterious Mega Stones. Have Sharpedo hold it, and this stone will enable it to Mega Evolve during battle.",maranga-berry,"Held: When the holder is hit by a special move, increases its Special Defense by one stage."
,Discount Coupon,"One of a variety of mysterious Mega Stones. Have Slowbro hold it, and this stone will enable it to Mega Evolve during battle.",discount-coupon,Can be used at a boutique for a 50% discount.  Consumed once used.
,Strange Souvenir,"One of a variety of mysterious Mega Stones. Have Steelix hold it, and this stone will enable it to Mega Evolve during battle.",strange-souvenir,Vendor trash.
,Lumiose Galette,"One of a variety of mysterious Mega Stones. Have Pidgeot hold it, and this stone will enable it to Mega Evolve during battle.",lumiose-galette,Cures all major status ailments and confusion.
,Jaw Fossil,"One of a variety of mysterious Mega Stones. Have Glalie hold it, and this stone will enable it to Mega Evolve during battle.",jaw-fossil,Can be revived into a Tyrunt.
,Sail Fossil,"One of a variety of mysterious Mega Stones. Have Diancie hold it, and this stone will enable it to Mega Evolve during battle.",sail-fossil,Can be revived into an Amaura.
,Fairy Gem,"A bottle believed to have been used to seal away the power of a certain Pokémon long, long ago.",fairy-gem,"Held: When the holder uses a damaging Fairy move, the move has 1.5× power and this item is consumed."
,Adventure Guide,This bracelet contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.,adventure-rules,Contains basic gameplay information.
,Elevator Key,"One of a variety of mysterious Mega Stones. Have Camerupt hold it, and this stone will enable it to Mega Evolve during battle.",elevator-key,Unlocks the elevator in Lysandre Labs.
,Holo Caster,"One of a variety of mysterious Mega Stones. Have Lopunny hold it, and this stone will enable it to Mega Evolve during battle.",holo-caster,Displays cutscene conversations as the plot advances.
,Honor of Kalos,"One of a variety of mysterious Mega Stones. Have Salamence hold it, and this stone will enable it to Mega Evolve during battle.",honor-of-kalos,"Does nothing, but signifies becoming Champion."
,Intriguing Stone,"One of a variety of mysterious Mega Stones. Have Beedrill hold it, and this stone will enable it to Mega Evolve during battle.",intriguing-stone,"Trade for a Sun Stone in X and Y, or Pidgeotite in Omega Ruby and Alpha Sapphire."
,Lens Case,A stone filled with an unexplained power. It makes Pokémon that battle with a Mega Stone Mega Evolve.,lens-case,Allows the player to change their eye color.
,Looker Ticket,One of the fragments of a Meteorite from Granite Cave. It’s faintly warm to the touch.,looker-ticket,Advances the Looker postgame plot.
,Mega Ring,A flute that can be used to summon Latios or Latias no matter where you are.,mega-ring,Allows the player's Pokémon to Mega Evolve.
,Power Plant Pass,This is a crystallized form of Z-Power. It upgrades Normal-type moves to Z-Moves.,power-plant-pass,Permits entry to the Kalos Power Plant.
,Prof’s Letter,This is a crystallized form of Z-Power. It upgrades Fire-type moves to Z-Moves.,profs-letter,Traded to the player's mom for the Town Map and a Potion.
,Roller Skates,This is a crystallized form of Z-Power. It upgrades Water-type moves to Z-Moves.,roller-skates,Allows the player to move quickly and off the grid.
,Sprinklotad,This is a crystallized form of Z-Power. It upgrades Electric-type moves to Z-Moves.,sprinklotad,Waters Berry plants.
,TMV Pass,This is a crystallized form of Z-Power. It upgrades Grass-type moves to Z-Moves.,tmv-pass,Permits access to Kiloude City.
,TM96,This is a crystallized form of Z-Power. It upgrades Ice-type moves to Z-Moves.,tm96,Teaches a Pokémon TM96.
,TM97,This is a crystallized form of Z-Power. It upgrades Fighting-type moves to Z-Moves.,tm97,Teaches a Pokémon TM97.
,TM98,This is a crystallized form of Z-Power. It upgrades Poison-type moves to Z-Moves.,tm98,Teaches a Pokémon TM98.
,TM99,This is a crystallized form of Z-Power. It upgrades Ground-type moves to Z-Moves.,tm99,Teaches a Pokémon TM99.
,TM100,This is a crystallized form of Z-Power. It upgrades Flying-type moves to Z-Moves.,tm100,Teaches a Pokémon TM100.
,Latiasite,This is a crystallized form of Z-Power. It upgrades Psychic-type moves to Z-Moves.,latiasite,Held: Allows Latias to Mega Evolve into Mega Latias.
,Latiosite,This is a crystallized form of Z-Power. It upgrades Bug-type moves to Z-Moves.,latiosite,Held: Allows Latios to Mega Evolve into Mega Latios.
,Common Stone,This is a crystallized form of Z-Power. It upgrades Rock-type moves to Z-Moves.,common-stone,Unknown.
,Makeup Bag,This is a crystallized form of Z-Power. It upgrades Ghost-type moves to Z-Moves.,makeup-bag,Allows the player to change their lipstick color.
,Travel Trunk,This is a crystallized form of Z-Power. It upgrades Dragon-type moves to Z-Moves.,travel-trunk,"Unobtainable, but allows the player to change clothes anywhere."
,Shalour Sable,This is a crystallized form of Z-Power. It upgrades Dark-type moves to Z-Moves.,shalour-sable,Cures any major status ailment and confusion.
,Mega Charm,This is a crystallized form of Z-Power. It upgrades Steel-type moves to Z-Moves.,mega-charm,Unused Key Stone.
,Mega Glove,This is a crystallized form of Z-Power. It upgrades Fairy-type moves to Z-Moves.,mega-glove,Unused NPC Key Stone.
,Devon Parts,This is a crystallized form of Z-Power. It upgrades Pikachu’s Volt Tackle to a Z-Move.,devon-parts,Allows Captain Stern to set out on his expedition.
,Pokéblock Kit,A beautiful bottle cap that gives off a silver gleam. Some people are happy to receive one.,pokeblock-kit,Creates and stores Pokéblocks.
,Key to Room 1,A beautiful bottle cap that gives off a golden gleam. Some people are happy to receive one.,key-to-room-1,Unlocks the door to Room 1 in Sea Mauville.
,Key to Room 2,A mysterious ring that enables Pokémon to use Z-Power. It requires both the willpower and the physical power of the Trainer wearing it.,key-to-room-2,Unlocks the door to Room 2 in Sea Mauville.
,Key to Room 4,This is a crystallized form of Z-Power. It upgrades Decidueye’s Spirit Shackle to a Z-Move.,key-to-room-4,Unlocks the door to Room 4 in Sea Mauville.
,Key to Room 6,This is a crystallized form of Z-Power. It upgrades Incineroar’s Darkest Lariat to a Z-Move.,key-to-room-6,Unlocks the door to Room 6 in Sea Mauville.
,Devon Scuba Gear,This is a crystallized form of Z-Power. It upgrades Primarina’s Sparkling Aria to a Z-Move.,devon-scuba-gear,Worn by the player while underwater.
,Contest Costume,This is a crystallized form of Z-Power. It upgrades the tapu’s Nature’s Madness to a Z-Move.,contest-costume--jacket,Worn during Pokémon Contests.
,Magma Suit,This is a crystallized form of Z-Power. It upgrades Marshadow’s Spectral Thief to a Z-Move.,magma-suit,Allows the player to ride Groudon in the Cave of Origin.
,Aqua Suit,This is a crystallized form of Z-Power. It upgrades Alolan Raichu’s Thunderbolt to a Z-Move.,aqua-suit,Allows the player to ride Kyogre in the Cave of Origin.
,Pair of Tickets,This is a crystallized form of Z-Power. It upgrades Snorlax’s Giga Impact to a Z-Move.,pair-of-tickets,Allows the player and their mother to see the star show in the Mossdeep Space Center.
,Mega Bracelet,This is a crystallized form of Z-Power. It upgrades Eevee’s Last Resort to a Z-Move.,mega-bracelet,Allows the player's Pokémon to Mega Evolve.
,Mega Pendant,This is a crystallized form of Z-Power. It upgrades Mew’s Psychic to a Z-Move.,mega-pendant,Unused NPC Key Stone.
,Mega Glasses,This is a crystallized form of Z-Power. It upgrades a Thunderbolt by Pikachu in a cap to a Z-Move.,mega-glasses,Unused NPC Key Stone.
,Mega Anchor,A bag to carry ingredients gathered during Mallow’s trial in the jungle.,mega-anchor,Unused NPC Key Stone.
,Mega Stickpin,A fishing rod made by Captain Lana. Cast a line over piles of underwater rocks to fish for wild aquatic Pokémon.,mega-stickpin,Unused NPC Key Stone.
,Mega Tiara,The mask that belongs to The Masked Royal.  This pro wrestler apparently sews his mask on a machine himself.,mega-tiara,Unused NPC Key Stone.
,Mega Anklet,A ticket that allows you to host a mission in Festival Plaza.,mega-anklet,Unused NPC Key Stone.
,Swampertite,A stone entrusted by a Pokémon that has been venerated as a guardian deity in the Alola region. There is said to be some secret in how it sparkles.,swampertite,Held: Allows Swampert to Mega Evolve into Mega Swampert.
,Sceptilite,"Using it makes wild Pokémon call for help a number of times. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.",sceptilite,Held: Allows Sceptile to Mega Evolve into Mega Sceptile.
,Sablenite,An item to store Zygarde Cores and Cells. You can also use it to teach Zygarde moves.,sablenite,Held: Allows Sableye to Mega Evolve into Mega Sableye.
,Altarianite,A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable snowflake pattern.,altarianite,Held: Allows Altaria to Mega Evolve into Mega Altaria.
,Galladite,"By entering certain numbers on this pager, you can summon Ride Pokémon in an instant.",galladite,Held: Allows Gallade to Mega Evolve into Mega Gallade.
,Audinite,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.,audinite,Held: Allows Audino to Mega Evolve into Mega Audino.
,Metagrossite,The Alola region’s local specialty—fried bread. It can be used once to heal all the status conditions of a Pokémon.,metagrossite,Held: Allows Metagross to Mega Evolve into Mega Metagross.
,Sharpedonite,A flower nectar obtained at Ula’ula Meadow. It changes the form of certain species of Pokémon.,sharpedonite,Held: Allows Sharpedo to Mega Evolve into Mega Sharpedo.
,Slowbronite,A flower nectar obtained at Melemele Meadow. It changes the form of certain species of Pokémon.,slowbronite,Held: Allows Slowbro to Mega Evolve into Mega Slowbro.
,Steelixite,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.,steelixite,Held: Allows Steelix to Mega Evolve into Mega Steelix.
,Pidgeotite,A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.,pidgeotite,Held: Allows Pidgeot to Mega Evolve into Mega Pidgeot.
,Glalitite,It is said that the tones it produces were offered up as an expression of gratitude to the Legendary Pokémon of the sun.,glalitite,Held: Allows Glalie to Mega Evolve into Mega Glalie.
,Diancite,It is said that the tones it produces were offered up as an expression of gratitude to the Legendary Pokémon of the moon.,diancite,Held: Allows Diancie to Mega Evolve into Mega Diancie.
,Prison Bottle,A mysterious card. Written on it is a request for you to go to a guest room in an Akala motel on Route 8.,prison-bottle,Transforms Hoopa into its Unbound form for up to three days.
,Mega Cuff,An item to be held by a Pokémon. It extends the duration of the terrain caused by the holder’s move or Ability.,mega-cuff,Unused Key Stone.
,Cameruptite,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.,cameruptite,Held: Allows Camerupt to Mega Evolve into Mega Camerupt.
,Lopunnite,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.,lopunnite,Held: Allows Lopunny to Mega Evolve into Mega Lopunny.
,Salamencite,An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.,salamencite,Held: Allows Salamence to Mega Evolve into Mega Salamence.
,Beedrillite,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.,beedrillite,Held: Allows Beedrill to Mega Evolve into Mega Beedrill.
,Key Stone,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.,key-stone,Allows the player's Pokémon to Mega Evolve.
,Meteorite Shard,A memory disc that contains Fighting-type data. It changes the type of the holder if held by a certain species of Pokémon.,meteorite-shard,"Causes the Meteorite to transform to its final form, allowing Rayquaza to Mega Evolve."
,Eon Flute,A memory disc that contains Flying-type data. It changes the type of the holder if held by a certain species of Pokémon.,eon-flute,Summons Latias or Latios for a ride.
,Normalium Z,A memory disc that contains Poison-type data. It changes the type of the holder if held by a certain species of Pokémon.,normalium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Normal moves.
,Firium Z,A memory disc that contains Ground-type data. It changes the type of the holder if held by a certain species of Pokémon.,firium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Fire moves.
,Waterium Z,A memory disc that contains Rock-type data. It changes the type of the holder if held by a certain species of Pokémon.,waterium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Water moves.
,Electrium Z,A memory disc that contains Bug-type data. It changes the type of the holder if held by a certain species of Pokémon.,electrium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Electric moves.
,Grassium Z,A memory disc that contains Ghost-type data. It changes the type of the holder if held by a certain species of Pokémon.,grassium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Grass moves.
,Icium Z,A memory disc that contains Steel-type data. It changes the type of the holder if held by a certain species of Pokémon.,icium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Ice moves.
,Fightinium Z,A memory disc that contains Fire-type data. It changes the type of the holder if held by a certain species of Pokémon.,fightinium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Fighting moves.
,Poisonium Z,A memory disc that contains Water-type data. It changes the type of the holder if held by a certain species of Pokémon.,poisonium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Poison moves.
,Groundium Z,A memory disc that contains Grass-type data. It changes the type of the holder if held by a certain species of Pokémon.,groundium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Ground moves.
,Flyinium Z,A memory disc that contains Electric-type data. It changes the type of the holder if held by a certain species of Pokémon.,flyinium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Flying moves.
,Psychium Z,A memory disc that contains Psychic-type data. It changes the type of the holder if held by a certain species of Pokémon.,psychium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Psychic moves.
,Buginium Z,A memory disc that contains Ice-type data. It changes the type of the holder if held by a certain species of Pokémon.,buginium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Bug moves.
,Rockium Z,A memory disc that contains Dragon-type data. It changes the type of the holder if held by a certain species of Pokémon.,rockium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Rock moves.
,Ghostium Z,A memory disc that contains Dark-type data. It changes the type of the holder if held by a certain species of Pokémon.,ghostium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Ghost moves.
,Dragonium Z,A memory disc that contains Fairy-type data. It changes the type of the holder if held by a certain species of Pokémon.,dragonium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Dragon moves.
,Darkinium Z,A folding Bike that enables a rider to get around much faster than with Running Shoes.,darkinium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Dark moves.
,Steelium Z,The key to Team Galactic’s sinister warehouse located at the edge of Veilstone City.,steelium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Steel moves.
,Fairium Z,A key that opens a door in the Goldenrod Tunnel.,fairium-z--held,Held: Allows a Pokémon to use the Z-move equivalents of its Fairy moves.
,Pikanium Z,A high-tech transceiver with a camera function. It allows up to four-way calls.,pikanium-z--held,Held: Allows Pikachu to upgrade Volt Tackle into Catastropika.
,Bottle Cap,A high-tech transceiver with a camera function. It allows up to four-way calls.,bottle-cap,Trade to Mr. Hyper to maximize one of a Pokémon's genes.
,Gold Bottle Cap,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.,gold-bottle-cap,Trade to Mr. Hyper to maximize all of a Pokémon's genes.
,Z-Ring,A splicer that separates Kyurem and a certain Pokémon when they have been fused.,z-ring,Allows the player's Pokémon to use Z-moves.
,Decidium Z,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.,decidium-z--held,Held: Allows Decidueye to upgrade Spirit Shackle into Sinister Arrow Raid.
,Incinium Z,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a girl.,incinium-z--held,Held: Allows Incineroar to upgrade Darkest Lariat into Malicious Moonsault.
,Primarium Z,A device that allows users to receive and view hologram clips at any time. It’s also used to chat with others.,primarium-z--held,Held: Allows Primarina to upgrade Sparkling Aria into Oceanic Operetta.
,Tapunium Z,A folding Bike that enables a rider to get around much faster than with Running Shoes.,tapunium-z--held,Held: Allows the Tapus to upgrade Nature's Madness into Guardian of Alola.
,Marshadium Z,A device that allows users to receive and view hologram clips at any time. It’s also used to chat with others.,marshadium-z--held,Held: Allows Marshadow to upgrade Spectral Thief into Soul-Stealing 7 Star Strike.
,Aloraichium Z,"The key to New Mauville, which was constructed beneath Mauville City.",aloraichium-z--held,Held: Allows Alola Raichu to upgrade Thunderbolt into Stoked Sparksurfer.
,Snorlium Z,A key that opens the storage hold inside Sea Mauville.,snorlium-z--held,Held: Allows Snorlax to upgrade Giga Impact into Pulverizing Pancake.
,Eevium Z,Ticket required for sailing on a ferry.,eevium-z--held,Held: Allows Eevee to upgrade Last Resort into Extreme Evoboost.
,Mewnium Z,A very cute dress to be worn during the Contest Spectacular.,mewnium-z--held,Held: Allows Mew to upgrade Psychic into Genesis Supernova.
,Pikashunium Z,A Meteorite that you got at Mt. Chimney. It gives off a faint glow.,pikashunium-z--held,"Held: Allows cap-wearing Pikachu to upgrade Thunderbolt into 10,000,000 Volt Thunderbolt."
,Forage Bag,A Meteorite that you got at Mt. Chimney. It continues to give off a faint glow and is slightly warm to the touch.,forage-bag,Holds ingredients during Mallow's trial.
,Fishing Rod,"A Meteorite that you got at Mt. Chimney. Some sort of pattern has risen to the surface, and it’s shining with seven colors of light.",fishing-rod,Allows the player to fish for Pokémon.
,Professor’s Mask,It converts Z-Power into crystals that upgrade Normal-type moves to Normal-type Z-Moves.,professors-mask,Lost by Professor Kukui.
,Festival Ticket,It converts Z-Power into crystals that upgrade Fire-type moves to Fire-type Z-Moves.,festival-ticket,Hosts a mission in Festival Plaza.
,Sparkling Stone,It converts Z-Power into crystals that upgrade Water-type moves to Water-type Z-Moves.,sparkling-stone,Required to obtain a Z-Ring.
,Adrenaline Orb,It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.,adrenaline-orb,Makes wild Pokémon more likely to summon allies.  Held: increases the holder's Speed by one stage when affected by Intimidate.
,Zygarde Cube,It converts Z-Power into crystals that upgrade Grass-type moves to Grass-type Z-Moves.,zygarde-cube,Contains collected Zygarde cells/cores.  Can teach Zygarde moves.
,Ice Stone,It converts Z-Power into crystals that upgrade Ice-type moves to Ice-type Z-Moves.,ice-stone,Evolves an Alola Sandshrew into Alola Sandslash or an Alola Vulpix into Alola Ninetales.
,Ride Pager,It converts Z-Power into crystals that upgrade Fighting-type moves to Fighting-type Z-Moves.,ride-pager,Allows the player to summon a Ride Pokémon.
,Beast Ball,It converts Z-Power into crystals that upgrade Poison-type moves to Poison-type Z-Moves.,beast-ball,Tries to catch a wild Pokémon.  Success rate is 5× for Ultra Beasts and 0.1× for all other Pokémon.
,Big Malasada,It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.,big-malasada,Cures major status ailments and confusion.
,Red Nectar,It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.,red-nectar,Changes Oricorio to Baile Style.
,Yellow Nectar,It converts Z-Power into crystals that upgrade Psychic-type moves to Psychic-type Z-Moves.,yellow-nectar,Changes Oricorio to Pom-Pom Style.
,Pink Nectar,It converts Z-Power into crystals that upgrade Bug-type moves to Bug-type Z-Moves.,pink-nectar,Changes Oricorio to Pa’u Style.
,Purple Nectar,It converts Z-Power into crystals that upgrade Rock-type moves to Rock-type Z-Moves.,purple-nectar,Changes Oricorio to Sensu Style.
,Sun Flute,It converts Z-Power into crystals that upgrade Ghost-type moves to Ghost-type Z-Moves.,sun-flute,Evolves Nebby into Solgaleo when used at the Altar of the Sunne.
,Moon Flute,It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.,moon-flute,Evolves Nebby into Lunala when used at the Altar of the Moone.
,Enigmatic Card,It converts Z-Power into crystals that upgrade Dark-type moves to Dark-type Z-Moves.,enigmatic-card,Unlocks Looker's motel room on Route 8.
,Terrain Extender,It converts Z-Power into crystals that upgrade Steel-type moves to Steel-type Z-Moves.,terrain-extender,Held: Extends the holder's Terrain effects to 8 turns.
,Protective Pads,It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.,protective-pads,Held: Prevents side effects of contact moves used on the holder.
,Electric Seed,It converts Z-Power into crystals that upgrade Pikachu’s Volt Tackle to an exclusive Z-Move.,electric-seed,Held: Consumed on Electric Terrain and raises the holder's Defense by one stage.
,Psychic Seed,It converts Z-Power into crystals that upgrade Decidueye’s Spirit Shackle to an exclusive Z-Move.,psychic-seed,Held: Consumed on Psychic Terrain and raises the holder's Special Defense by one stage.
,Misty Seed,It converts Z-Power into crystals that upgrade Incineroar’s Darkest Lariat to an exclusive Z-Move.,misty-seed,Held: Consumed on Misty Terrain and raises the holder's Special Defense by one stage.
,Grassy Seed,It converts Z-Power into crystals that upgrade Primarina’s Sparkling Aria to an exclusive Z-Move.,grassy-seed,Held: Consumed on Grassy Terrain and raises the holder's Defense by one stage.
,Fighting Memory,It converts Z-Power into crystals that upgrade the tapu’s Nature’s Madness to an exclusive Z-Move.,fighting-memory,Held: Changes Silvally to its Fighting form.  Changes Multi-Attack's type to Fighting.
,Flying Memory,It converts Z-Power into crystals that upgrade Marshadow’s Spectral Thief to an exclusive Z-Move.,flying-memory,Held: Changes Silvally to its Flying form.  Changes Multi-Attack's type to Flying.
,Poison Memory,It converts Z-Power into crystals that upgrade Alolan Raichu’s Thunderbolt to an exclusive Z-Move.,poison-memory,Held: Changes Silvally to its Poison form.  Changes Multi-Attack's type to Poison.
,Ground Memory,It converts Z-Power into crystals that upgrade Snorlax’s Giga Impact to an exclusive Z-Move.,ground-memory,Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.
,Rock Memory,It converts Z-Power into crystals that upgrade Eevee’s Last Resort to an exclusive Z-Move.,rock-memory,Held: Changes Silvally to its Rock form.  Changes Multi-Attack's type to Rock.
,Bug Memory,It converts Z-Power into crystals that upgrade Mew’s Psychic to an exclusive Z-Move.,bug-memory,Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.
,Ghost Memory,It converts Z-Power into crystals that upgrade a Thunderbolt by Pikachu in a cap to an exclusive Z-Move.,ghost-memory,Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.
,Steel Memory,This is a crystallized form of Z-Power. It upgrades Solgaleo’s Sunsteel Strike to a Z-Move.,steel-memory,Held: Changes Silvally to its Steel form.  Changes Multi-Attack's type to Steel.
,Fire Memory,This is a crystallized form of Z-Power. It upgrades Lunala’s Moongeist Beam to a Z-Move.,fire-memory,Held: Changes Silvally to its Fire form.  Changes Multi-Attack's type to Fire.
,Water Memory,This is a crystallized form of Z-Power. It upgrades Necrozma’s Photon Geyser to a Z-Move.,water-memory,Held: Changes Silvally to its Water form.  Changes Multi-Attack's type to Water.
,Grass Memory,This is a crystallized form of Z-Power. It upgrades Mimikyu’s Play Rough to a Z-Move.,grass-memory,Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.
,Electric Memory,This is a crystallized form of Z-Power. It upgrades Lycanroc’s Stone Edge to a Z-Move.,electric-memory,Held: Changes Silvally to its Electric form.  Changes Multi-Attack's type to Electric.
,Psychic Memory,This is a crystallized form of Z-Power. It upgrades Kommo-o’s Clanging Scales to a Z-Move.,psychic-memory,Held: Changes Silvally to its Psychic form.  Changes Multi-Attack's type to Psychic.
,Ice Memory,It converts Z-Power into crystals that upgrade Solgaleo’s Sunsteel Strike to an exclusive Z-Move.,ice-memory,Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.
,Dragon Memory,It converts Z-Power into crystals that upgrade Lunala’s Moongeist Beam to an exclusive Z-Move.,dragon-memory,Held: Changes Silvally to its Dragon form.  Changes Multi-Attack's type to Dragon.
,Dark Memory,It’s a crystal that turns Necrozma fused with Solgaleo or Lunala into a new form.,dark-memory,Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.
,Fairy Memory,It converts Z-Power into crystals that upgrade Mimikyu’s Play Rough to an exclusive Z-Move.,fairy-memory,Held: Changes Silvally to its Fairy form.  Changes Multi-Attack's type to Fairy.
,Bike,It converts Z-Power into crystals that upgrade Lycanroc’s Stone Edge to an exclusive Z-Move.,bike--green,XXX new effect for bike--green
,Storage Key,It converts Z-Power into crystals that upgrade Kommo-o’s Clanging Scales to an exclusive Z-Move.,storage-key--galactic-warehouse,XXX new effect for storage-key--galactic-warehouse
,Basement Key,A mysterious ring that enables Pokémon to use Z-Power. It requires both the willpower and the physical power of the Trainer wearing it.,basement-key--goldenrod,XXX new effect for basement-key--goldenrod
,Xtransceiver,A pressed flower petal you receive from Mina during Mina’s trial. The goal is to collect seven different kinds of petals.,xtransceiver--red,XXX new effect for xtranceiver--red
,Xtransceiver,A pressed flower petal you receive from Ilima during Mina’s trial. The goal is to collect seven different kinds of petals.,xtransceiver--yellow,XXX new effect for xtranceiver--yellow
,DNA Splicers,A pressed flower petal you receive from Lana  during Mina’s trial. The goal is to collect seven different kinds of petals.,dna-splicers--merge,XXX new effect for dna-splicers--merge
,DNA Splicers,A pressed flower petal you receive from Kiawe during Mina’s trial. The goal is to collect seven different kinds of petals.,dna-splicers--split,XXX new effect for dna-splicers--split
,Dropped Item,A pressed flower petal you receive from Mallow during Mina’s trial. The goal is to collect seven different kinds of petals.,dropped-item--red,XXX new effect for dropped-item--red
,Dropped Item,A pressed flower petal you receive from Sophocles during Mina’s trial. The goal is to collect seven different kinds of petals.,dropped-item--yellow,XXX new effect for dropped-item--yellow
,Holo Caster,A pressed flower petal you receive from Nanu during Mina’s trial. The goal is to collect seven different kinds of petals.,holo-caster--green,XXX new effect for holo-caster--green
,Bike,A flower made of the petals you received from captains. It’s proof that your growth has been recognized by them.,bike--yellow,XXX new effect for bike--yellow
,Holo Caster,A novelty badge that you can receive at the Kantonian Gym. Rumor has it that it imitates the Badge of a Gym somewhere.,holo-caster--red,XXX new effect for holo-caster--red
,Basement Key,"A machine to fuse Necrozma, which needs light, and Solgaleo.",basement-key--new-mauville,XXX new effect for basement-key--new-mauville
,Storage Key,"A machine to fuse Necrozma, which needs light, and Lunala.",storage-key--sea-mauville,XXX new effect for storage-key--sea-mauville
,S.S. Ticket,"A machine to separate Necrozma, which needed light, from Solgaleo.",ss-ticket--hoenn,XXX new effect for ss-ticket--hoenn
